"","x"
"1","DNMBP"
"2","RNU7-163P"
"3","AC103828.1"
"4","TNKS1BP1"
"5","CLEC9A"
"6","RP11-133L14.5"
"7","LMBR1L"
"8","PTMS"
"9","LAG3"
"10","MLF2"
"11","CD4"
"12","C12orf57"
"13","PTPN6"
"14","U47924.31"
"15","DCUN1D2"
"16","TMCO3"
"17","SPATA13"
"18","SPATA13-AS1"
"19","AC108004.3"
"20","SLC16A6"
"21","ARSG"
"22","CBX2"
"23","TEX19"
"24","CDKN2D"
"25","FAM129C"
"26","NCK2"
"27","AC009505.2"
"28","OSR1"
"29","CAPG"
"30","SH2D6"
"31","HELZ2"
"32","RPN1"
"33","KLHL6"
"34","SNRK-AS1"
"35","RP11-188P20.3"
"36","MTMR14"
"37","CTD-3080P12.3"
"38","SMIM15"
"39","CTC-436P18.1"
"40","C7orf50"
"41","AC073957.15"
"42","MAFK"
"43","TMEM184A"
"44","AC093734.1"
"45","BRAT1"
"46","IQCE"
"47","UBR5"
"48","KB-1980E6.2"
"49","PVT1"
"50","RNU7-181P"
"51","SPIDR"
"52","CEBPD"
"53","ERI1"
"54","FAM78A"
