Name	UCSC_RefGene_Name	UCSC_RefGene_Group	Regulatory_Feature_Group	CHR_hg38	Start_hg38	End_hg38
cg12015355	LARP4;LARP4;LARP4;LARP4;LARP4;LARP4;LARP4	Body;Body;Body;Body;Body;Body;Body		chr12	50418575	50418577
cg25846372	DSCR3	Body		chr21	37236299	37236301
cg09969462	TBCD	Body		chr17	82776620	82776622
cg25626999	NCLN	Body		chr19	3189497	3189499
cg18810506	GPT2;GPT2	Body;Body		chr16	46898281	46898283
cg17809595	BMF;BMF;BMF;BMF	Body;Body;Body;Body		chr15	40103711	40103713
cg11683242	LCK	TSS1500	Promoter_Associated	chr1	32250955	32250957
cg02182476	LOC100128573	Body		chr19	7473197	7473199
cg00828556				chr3	196625114	196625116
cg25074794	MARCH8;MARCH8;MARCH8	Body;Body;Body		chr10	45463436	45463438
cg18072687	CD81	Body		chr11	2385041	2385043
cg05569131				chr6	36697842	36697844
cg17698117	GALNT6	Body		chr12	51357596	51357598
cg11180921	TNKS1BP1	5'UTR		chr11	57322751	57322753
cg18571045	TUBGCP3	Body		chr13	112583691	112583693
cg13067714				chr14	68624735	68624737
cg19533955	C3orf26;FILIP1L;FILIP1L	Body;5'UTR;5'UTR		chr3	100072033	100072035
cg02332110	LOC101930010;DST;DST	Body;Body;Body		chr6	56850196	56850198
cg13668025	SUCLG2	TSS1500	Unclassified	chr3	67655895	67655897
cg26508200	SSH1;SSH1	Body;Body		chr12	108841294	108841296
cg20042612			Promoter_Associated	chr14	22558825	22558827
cg08301743	DNM2;DNM2;DNM2;DNM2;DNM2	Body;Body;Body;Body;Body		chr19	10805675	10805677
cg12103219	PLEKHF1	Body	Promoter_Associated	chr19	29674400	29674402
cg04367345	ALX4	TSS1500	Unclassified_Cell_type_specific	chr11	44311085	44311087
cg15823461	TMEM132A;TMEM132A	Body;Body		chr11	60932093	60932095
cg20071624	WIPI2;WIPI2;WIPI2;WIPI2;WIPI2	Body;Body;Body;Body;Body	Gene_Associated_Cell_type_specific	chr7	5218725	5218727
cg09248826	SLC25A25;SLC25A25;SLC25A25;SLC25A25;SLC25A25;SLC25A25	5'UTR;1stExon;Body;Body;Body;Body		chr9	128098559	128098561
cg11867718	FADS3	Body	Unclassified_Cell_type_specific	chr11	61880224	61880226
cg03732020	NR1H3;NR1H3;NR1H3	Body;Body;Body		chr11	47261416	47261418
cg00656410	SDF4;SDF4	Body;Body		chr1	1222160	1222162
cg12500857	RFC2;RFC2	3'UTR;3'UTR		chr7	74231599	74231601
cg27305893	MARS	Body		chr12	57500354	57500356
cg09123760	DIABLO;DIABLO;DIABLO;DIABLO	TSS200;TSS200;TSS200;TSS200		chr12	122227664	122227666
cg25642069	TOP1MT	Body		chr8	143326059	143326061
cg24188561	SIRT2;SIRT2	5'UTR;Body		chr19	38897128	38897130
cg04162316	RPTOR;RPTOR	Body;Body	Unclassified_Cell_type_specific	chr17	80812554	80812556
cg01148975	KSR1	5'UTR		chr17	27495759	27495761
cg11386978	TRIO	Body	Unclassified_Cell_type_specific	chr5	14325934	14325936
cg18201212	TTF1;TTF1	Body;Body		chr9	132383769	132383771
cg23071286				chr15	90816970	90816972
cg12585732	ZMIZ1	5'UTR		chr10	79160819	79160821
cg12747467			Unclassified_Cell_type_specific	chr17	1201401	1201403
cg11944324	TOLLIP	3'UTR		chr11	1275305	1275307
cg03128303	CPNE1;CPNE1;CPNE1;CPNE1;CPNE1;CPNE1;CPNE1	Body;Body;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr20	35641900	35641902
cg26350671	LOC101929125	TSS1500		chr20	3807780	3807782
cg15900159	MIPEP	Body		chr13	23847278	23847280
cg02054108	USP34	Body		chr2	61380342	61380344
cg00842595	C17orf97	Body		chr17	413401	413403
cg21603759	ADD1;ADD1;ADD1;ADD1;ADD1	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr4	2847561	2847563
cg02385661	TRMT1;TRMT1;TRMT1	3'UTR;3'UTR;3'UTR	Promoter_Associated	chr19	13104914	13104916
cg06882829				chr6	170080998	170081000
cg13293139	SYN2;SYN2	Body;Body		chr3	12180747	12180749
cg14861383				chr3	150740818	150740820
cg13964181	CTSB;CTSB;CTSB;CTSB;CTSB	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR		chr8	11857370	11857372
cg00610310	LOC146336;SSTR5	TSS200;TSS200		chr16	1078739	1078741
cg04273871	TLX1	Body	Unclassified_Cell_type_specific	chr10	101134469	101134471
cg10067737				chr2	88859675	88859677
cg00346244	ZCCHC14	Body		chr16	87434619	87434621
cg09696715	NPLOC4	Body		chr17	81598674	81598676
cg15703314	EXOC2	Body		chr6	513296	513298
cg03530155				chr5	43416817	43416819
cg01056126	HRH4;HRH4;HRH4	TSS1500;TSS1500;TSS1500		chr18	24459910	24459912
cg26669602	GMEB2	Body		chr20	63612503	63612505
cg08075204	BIN2	TSS200	Promoter_Associated	chr12	51324327	51324329
cg14249520	CPT1A;CPT1A	Body;Body		chr11	68762708	68762710
cg10608596	ZNF833	Body		chr19	11674309	11674311
cg17500342				chr14	76916138	76916140
cg16585570	SSBP2;SSBP2;SSBP2;SSBP2;SSBP2;SSBP2	Body;Body;Body;Body;Body;Body		chr5	81606483	81606485
cg09776718	PLEKHF1	Body	Promoter_Associated	chr19	29673912	29673914
cg17528418	SMARCB1;SMARCB1	Body;Body		chr22	23800715	23800717
cg05877788	TP53I13	Body	Unclassified_Cell_type_specific	chr17	29572855	29572857
cg25838060				chr7	140232928	140232930
cg27011416	CGA;CGA	TSS200;TSS200		chr6	87095225	87095227
cg13610659	OBFC2B;SLC39A5	Body;TSS1500		chr12	56228823	56228825
cg08888322	IL10RB	Body		chr21	33296323	33296325
cg15427886			Unclassified_Cell_type_specific	chr8	54467102	54467104
cg16069845	FLJ42969	TSS200		chr8	101051892	101051894
cg22275872	TOLLIP	Body		chr11	1295205	1295207
cg03597940	DOHH;DOHH	Body;Body	Gene_Associated_Cell_type_specific	chr19	3494622	3494624
cg03935228	SRPK2;SRPK2;SRPK2	Body;Body;Body		chr7	105131098	105131100
cg19176391	SSH3	TSS200	Promoter_Associated	chr11	67303288	67303290
cg09630038	PPP2R5C;PPP2R5C;PPP2R5C;PPP2R5C;PPP2R5C	Body;Body;Body;Body;Body	Promoter_Associated_Cell_type_specific	chr14	101820435	101820437
cg08087060	KLHDC4;KLHDC4;KLHDC4	Body;Body;Body		chr16	87762201	87762203
cg22908922	PACS2;PACS2	Body;Body		chr14	105388670	105388672
cg10917426	ZBTB12	3'UTR		chr6	31899920	31899922
cg19688999	IPMK	Body		chr10	58202003	58202005
cg18563860	CTSZ	TSS1500	Unclassified_Cell_type_specific	chr20	59008335	59008337
cg22941668	MIR145;LOC728264	TSS200;Body	Unclassified	chr5	149430616	149430618
cg14067377	XXYLT1;XXYLT1	Body;Body		chr3	195175797	195175799
cg03636618				chr14	63761866	63761868
cg19045191	NAT10;NAT10	3'UTR;3'UTR		chr11	34146307	34146309
cg04311811				chr20	49767436	49767438
cg01656547	DIP2A;DIP2A	Body;Body	Promoter_Associated_Cell_type_specific	chr21	46550928	46550930
cg15015109	HELZ	Body		chr17	67140363	67140365
cg14094409	DIABLO;DIABLO;DIABLO;DIABLO	TSS200;TSS200;TSS200;TSS200		chr12	122227545	122227547
cg16891352	TBCD	Body		chr17	82923959	82923961
cg08975528	ZBTB12	3'UTR		chr6	31899922	31899924
cg14644456				chr20	36867143	36867145
cg19426413	DPRXP4;RNF135;RNF135	TSS200;Body;Body		chr17	30975216	30975218
cg16805334	C10orf76	Body	Unclassified_Cell_type_specific	chr10	101901518	101901520
cg11222173	RPTOR;RPTOR	Body;Body	Unclassified	chr17	80774218	80774220
cg26245368				chr16	3946293	3946295
cg09160401	KIAA0556	Body		chr16	27756492	27756494
cg09865411			Unclassified_Cell_type_specific	chr18	26439208	26439210
cg17817613				chr21	42160537	42160539
cg08472008	LRPAP1	Body		chr4	3529875	3529877
cg11561282				chr4	83247270	83247272
cg20474850	HAND2	1stExon		chr4	173528931	173528933
cg15242630	MICAL3;MICAL3;MICAL3	5'UTR;5'UTR;5'UTR		chr22	18005711	18005713
cg10263304	ILKAP	Body		chr2	238185018	238185020
cg06963503	PPARD;PPARD;PPARD;PPARD;PPARD	5'UTR;5'UTR;5'UTR;5'UTR;Body		chr6	35363481	35363483
cg03270919				chr1	16123908	16123910
cg24271161	DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB	Body;Body;Body;Body;Body;Body;Body;Body		chr2	25618953	25618955
cg21565496			Unclassified_Cell_type_specific	chr13	40188012	40188014
cg00504500	FAM49B;FAM49B	Body;Body		chr8	130005259	130005261
cg10566933				chr4	138911173	138911175
cg03091551	OTX2	5'UTR	Unclassified_Cell_type_specific	chr14	56809248	56809250
cg20699157				chr13	23954011	23954013
cg10660635	CTSD	Body		chr11	1759063	1759065
cg27420834	ZNF280D;ZNF280D;ZNF280D	Body;Body;Body		chr15	56648379	56648381
cg02081266			Unclassified_Cell_type_specific	chr17	61452256	61452258
cg22023664	GNG7	5'UTR		chr19	2619609	2619611
cg01031101	NKAPL	TSS200	Promoter_Associated_Cell_type_specific	chr6	28259312	28259314
cg24958342				chr10	22086857	22086859
cg14300089	SRP68;SRP68;SRP68;SRP68	Body;Body;Body;Body		chr17	76048364	76048366
cg15251256				chr12	45707663	45707665
cg09875326	KIAA0182;KIAA0182	5'UTR;Body	Promoter_Associated_Cell_type_specific	chr16	85631442	85631444
cg07396047	LOC100129637	Body		chr16	87701470	87701472
cg22547206	BTRC;BTRC;BTRC	Body;Body;Body		chr10	101536258	101536260
cg06494464	GGT1	5'UTR		chr22	24596636	24596638
cg16291589	LRRN4	Body		chr20	6042531	6042533
cg26088614	ASXL2	Body		chr2	25816276	25816278
cg26613634	RGS3;RGS3;RGS3	TSS200;TSS200;Body		chr9	113463512	113463514
cg12382960	GTF2A1;GTF2A1;GTF2A1	5'UTR;Body;Body		chr14	81205787	81205789
cg20487608	JARID2	Body	Promoter_Associated_Cell_type_specific	chr6	15287894	15287896
cg13996193	CSGALNACT1;CSGALNACT1	Body;5'UTR		chr8	19676237	19676239
cg09817814	MLLT1	Body	Unclassified	chr19	6244492	6244494
cg06159782				chr9	91147145	91147147
cg27409651	CYB561A3;CYB561A3;CYB561A3;CYB561A3	TSS1500;5'UTR;5'UTR;5'UTR		chr11	61357528	61357530
cg17168057				chr15	78087999	78088001
cg26458072	SEC31B	TSS200		chr10	100519936	100519938
cg05501996				chr5	51377895	51377897
cg06635946				chr22	46074135	46074137
cg18664915	C7orf50;C7orf50;C7orf50	Body;Body;Body		chr7	1004224	1004226
cg13107908	COA1;COA1	Body;Body		chr7	43642995	43642997
cg15059065	NR2F6	Body		chr19	17244151	17244153
cg01005608	SLC2A9;SLC2A9	Body;Body		chr4	10006324	10006326
cg26306976	ITGB1BP1;ITGB1BP1;CPSF3	TSS1500;TSS1500;Body		chr2	9424771	9424773
cg14259466	ADAM8;ADAM8;ADAM8	TSS1500;TSS1500;TSS1500		chr10	133277492	133277494
cg16093065	TNRC6B;TNRC6B;TNRC6B	3'UTR;3'UTR;3'UTR	Promoter_Associated_Cell_type_specific	chr22	40324628	40324630
cg15208672	TMCO3	Body		chr13	113518708	113518710
cg25763393	ZNF578;ZNF578	1stExon;5'UTR	Promoter_Associated	chr19	52453578	52453580
cg05337383	CMC1	Body		chr3	28315052	28315054
cg24734928	CLYBL;CLYBL	Body;Body	Unclassified	chr13	99657096	99657098
cg25270899	TMTC4;TMTC4	Body;Body		chr13	100663064	100663066
cg04917472	CTSZ	TSS1500		chr20	59008230	59008232
cg08730245	NPFF	TSS1500		chr12	53509108	53509110
cg07256463				chr17	42640328	42640330
